City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Srednekolymsk,RU,67.45,153.6833,1.85,80,100,9.64,overcast clouds
Yarmouth,US,41.7057,-70.2286,54.0,94,40,9.22,scattered clouds
Tuatapere,NZ,-46.1333,167.6833,57.99,81,87,5.99,overcast clouds
Buloh Kasap,MY,2.5536,102.764,89.6,66,20,4.61,few clouds
Sahuaripa,MX,29.05,-109.2333,69.53,37,30,5.91,scattered clouds
San Andres,CO,12.5847,-81.7006,80.6,83,40,8.05,scattered clouds
Dossor,KZ,47.5272,52.9811,65.95,29,46,22.5,scattered clouds
Ulagan,RU,50.6321,87.9563,38.66,46,21,2.91,few clouds
Portel,BR,-1.9356,-50.8211,73.33,97,100,2.35,overcast clouds
Kerewan,GM,13.4898,-16.0888,66.2,94,0,5.66,clear sky
Ukiah,US,39.1502,-123.2078,53.6,58,1,3.87,clear sky
Algeciras,ES,36.1333,-5.4505,57.2,94,20,2.3,few clouds
Suntar,RU,62.1444,117.6319,19.98,65,100,8.61,overcast clouds
Vardo,NO,70.3705,31.1107,28.49,85,28,24.02,scattered clouds
Svetlaya,RU,46.5389,138.3297,48.2,51,79,16.49,broken clouds
College,US,64.8569,-147.8028,10.4,33,75,3.44,broken clouds
Kang,BW,-23.6752,22.7876,68.05,49,0,5.61,clear sky
Trelew,AR,-43.249,-65.3051,59.11,50,35,13.04,scattered clouds
Saskylakh,RU,71.9167,114.0833,17.49,72,100,12.41,overcast clouds
Ormara,PK,25.2088,64.6357,83.88,46,1,10.25,clear sky
Tyazhinskiy,RU,56.116,88.524,39.11,67,76,2.04,broken clouds
Ambatofinandrahana,MG,-20.55,46.8,66.85,64,97,4.12,overcast clouds
Lasa,IT,46.6166,10.7002,46.0,100,75,6.91,mist
Tygda,RU,53.1167,126.3333,28.53,41,47,10.6,scattered clouds
Bara,NG,10.3744,10.7288,81.9,26,33,7.23,scattered clouds
Lamar,US,33.6668,-95.5836,51.8,71,1,3.0,clear sky
Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,100,75,16.11,broken clouds
Cockburn Town,TC,21.4612,-71.1419,74.98,62,50,15.03,scattered clouds
Kushima,JP,31.4583,131.2333,68.0,52,75,13.8,broken clouds
Villa Carlos Paz,AR,-31.4241,-64.4978,54.0,88,14,4.0,few clouds
Flinders,AU,-34.5833,150.8552,66.0,41,35,8.01,scattered clouds
Korla,CN,41.7597,86.1469,64.24,28,1,3.02,clear sky
Kungurtug,RU,50.5994,97.5228,31.57,48,97,4.74,overcast clouds
Praia Da Vitoria,PT,38.7333,-27.0667,60.8,100,75,12.71,mist
Portland,US,45.5234,-122.6762,42.8,56,1,8.05,clear sky
Lata,PT,40.1629,-8.3327,57.0,96,78,1.36,broken clouds
Stavern,NO,59.0,10.0333,32.0,75,50,8.01,scattered clouds
Athabasca,CA,54.7169,-113.2854,26.6,86,91,13.8,light snow
Ledyard,US,41.4398,-72.0142,53.01,100,90,4.61,mist
Vao,NC,-22.6667,167.4833,77.22,83,100,16.31,overcast clouds
Lazaro Cardenas,MX,17.9583,-102.2,73.49,73,2,2.86,clear sky
Verkhoyansk,RU,67.5447,133.385,7.25,74,63,5.37,broken clouds
Tari,NG,12.4086,4.4914,81.3,8,83,6.24,broken clouds
Severo-Kurilsk,RU,50.6789,156.125,31.08,76,23,22.5,few clouds
Klyuchi,RU,52.2667,79.1667,47.55,46,4,16.42,clear sky
Maramba,TZ,-5.05,38.6167,71.53,74,83,6.2,light rain
Fengzhen,CN,40.4394,113.1536,47.01,76,100,5.48,light rain
Los Llanos De Aridane,ES,28.6585,-17.9182,62.6,72,0,5.75,clear sky
Vasilyevskiy Mokh,RU,57.0132,35.919,40.82,81,79,1.19,broken clouds
Trofors,NO,65.5333,13.4063,37.4,75,100,10.36,overcast clouds
Guilin,CN,25.2819,110.2864,60.8,94,90,0.43,mist
Santo Tomas,PH,14.1079,121.1414,93.2,43,20,9.22,few clouds
Siruguppa,IN,15.6333,76.9,95.0,24,10,9.86,clear sky
Ambulu,ID,-8.345,113.6058,87.01,64,20,6.51,few clouds
Eydhafushi,MV,5.1033,73.0708,83.44,69,29,5.21,scattered clouds
Patnagarh,IN,20.7167,83.15,102.06,19,2,4.74,clear sky
Hargeysa,SO,9.56,44.065,74.55,44,83,18.63,broken clouds
Mendi,PG,-6.1761,143.6513,59.43,96,80,2.89,broken clouds
Lianzhou,CN,24.7811,112.3825,81.72,55,90,5.03,overcast clouds
Aparecida Do Taboado,BR,-20.0867,-51.0936,67.32,50,0,6.2,clear sky
Malanje,AO,-9.5402,16.341,64.09,94,90,3.42,overcast clouds
Fairbanks,US,64.8378,-147.7164,10.4,33,75,3.44,broken clouds
Ornskoldsvik,SE,63.2909,18.7153,30.2,80,4,8.05,clear sky
Znamenka,RU,52.4167,41.4311,44.19,59,85,13.87,overcast clouds
Nacala,MZ,-14.5428,40.6728,77.07,90,100,8.3,light rain
Adrar,MR,20.5022,-10.0711,70.39,26,0,11.45,clear sky
Rondonopolis,BR,-16.4708,-54.6356,71.55,81,23,2.3,few clouds
Kupiskis,LT,55.8333,24.9667,40.12,90,100,5.1,overcast clouds
Xining,CN,36.6167,101.7667,49.46,47,93,4.0,overcast clouds
Syamzha,RU,60.0158,41.0614,38.57,69,49,8.59,scattered clouds
Nikolsk,RU,53.7189,46.0712,37.04,99,100,9.04,moderate rain
Rosarito,MX,32.3333,-117.0333,59.0,77,90,3.11,overcast clouds
Pokrovskoye,RU,47.4157,38.8971,45.0,76,100,15.99,overcast clouds
Ixtapa,MX,20.7,-105.2,68.32,81,80,2.86,broken clouds
Chaibasa,IN,22.5667,85.8167,96.8,34,0,2.3,smoke
Lazarev,RU,52.225,141.5131,36.07,93,100,12.86,overcast clouds
Fort Wellington,GY,6.4,-57.6,77.36,87,87,7.23,overcast clouds
Purpe,RU,64.4803,76.6897,32.31,100,69,10.33,broken clouds
Madera,US,37.1666,-119.8343,57.0,70,1,1.01,clear sky
Praia,CV,14.9215,-23.5087,71.6,56,0,14.97,clear sky
Puerto Colombia,CO,10.9878,-74.9547,77.0,94,20,3.44,fog
Awjilah,LY,29.1081,21.2869,55.89,37,17,14.83,few clouds
Norton Shores,US,43.1689,-86.2639,54.0,82,90,8.05,overcast clouds
Eirunepe,BR,-6.6603,-69.8736,70.23,98,89,0.36,overcast clouds
Kamloops,CA,50.6665,-120.3192,37.4,35,1,2.98,clear sky
Grindavik,IS,63.8424,-22.4338,35.6,93,75,13.8,light rain
Ivangorod,RU,59.3716,28.2162,38.48,56,4,10.25,clear sky
Sovetskoye,RU,52.2861,85.4131,34.02,100,22,4.94,few clouds
Limbang,MY,4.75,115.0,84.2,84,75,12.66,broken clouds
Antalaha,MG,-14.9003,50.2788,81.3,68,100,5.99,overcast clouds
Muros,ES,42.7762,-9.0603,50.0,79,40,7.0,scattered clouds
Codrington,AU,-38.2667,141.9667,54.81,64,100,17.18,overcast clouds
Yauya,PE,-8.9833,-77.3,48.4,84,100,1.77,overcast clouds
New Glasgow,CA,45.5834,-62.6486,32.0,74,1,17.27,clear sky
Hayden,US,47.766,-116.7866,34.0,74,20,3.44,few clouds
Misratah,LY,32.3754,15.0925,61.16,68,91,17.18,overcast clouds
Sur,OM,22.5667,59.5289,88.34,42,0,4.21,clear sky
Boddam,GB,57.4667,-1.7833,32.0,86,75,10.36,broken clouds
Hornepayne,CA,49.2138,-84.7705,42.55,95,87,4.43,overcast clouds
Superior,US,46.7208,-92.1041,44.01,75,90,5.75,overcast clouds
Saint Simons,US,31.1352,-81.3901,66.2,88,1,6.91,clear sky
Arbuzynka,UA,47.9097,31.3196,48.2,44,0,7.4,clear sky
Bonthe,SL,7.5264,-12.505,78.69,91,100,4.9,overcast clouds
Sembe,CG,1.6481,14.5806,72.37,94,100,2.08,overcast clouds
Kochubey,RU,44.3861,46.5825,54.61,62,41,3.0,scattered clouds
Kapoeta,SS,4.7717,33.5903,85.41,45,100,19.1,overcast clouds
Verkhnevilyuysk,RU,63.4453,120.3167,17.96,71,98,9.04,overcast clouds
Tongling,CN,30.95,117.7833,60.51,71,100,1.83,light rain
Sobolevo,RU,54.4299,31.8996,45.55,65,14,9.86,few clouds
Husavik,IS,66.0449,-17.3389,24.8,74,40,3.44,scattered clouds
Ulaanbaatar,MN,47.9077,106.8832,26.6,74,90,17.9,snow
Dawei,MM,14.0833,98.2,88.32,63,37,7.61,scattered clouds
Santa Helena De Goias,BR,-17.8136,-50.5969,64.47,70,0,1.9,clear sky
Soyo,AO,-6.1349,12.3689,78.28,84,100,6.64,overcast clouds
Dafeng,CN,23.4517,108.5881,75.51,76,99,8.72,overcast clouds
Langres,FR,47.8333,5.3333,48.2,81,0,5.75,clear sky
Yunhe,CN,34.0833,119.7167,58.77,74,98,16.42,moderate rain
Palasa,IN,18.7667,84.4167,93.16,40,3,14.29,clear sky
Nara,JP,34.6851,135.8049,71.01,26,20,6.91,few clouds
Zemio,CF,5.0314,25.1361,76.8,67,99,2.44,overcast clouds
Isiro,CD,2.7739,27.616,70.27,92,99,5.17,overcast clouds
Aktau,KZ,43.65,51.2,69.8,23,0,22.37,clear sky
Moerai,PF,-22.4333,-151.3333,78.26,80,96,14.25,light rain
Zahirabad,IN,17.6833,77.6167,92.05,28,12,3.71,few clouds
Aykhal,RU,66.0,111.5,17.92,50,0,4.85,clear sky
Andenes,NO,69.3143,16.1194,35.6,80,75,19.57,light snow
Kumluca,TR,36.3703,30.2869,54.25,30,0,0.69,clear sky
Voskresenskoye,RU,56.8381,45.4317,38.1,85,91,3.11,overcast clouds
Kieta,PG,-6.2167,155.6333,80.15,82,100,5.35,light rain
Nago,JP,26.5881,127.9761,75.2,60,20,20.71,few clouds
Koforidua,GH,6.0941,-0.2591,80.6,83,20,8.05,few clouds
Santa Marta,CO,11.2408,-74.199,82.99,77,100,1.99,overcast clouds
Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,74.08,73,59,1.54,broken clouds
Orlik,RU,52.5178,99.825,25.05,36,38,4.5,scattered clouds
Kumo,NG,10.0447,11.2122,84.2,36,64,10.6,broken clouds
Nishihara,JP,26.1842,127.7558,75.2,60,75,19.57,broken clouds
Yerbogachen,RU,61.2767,108.0108,22.98,58,3,6.31,clear sky
Tiznit,MA,29.5833,-9.5,54.39,88,82,1.14,broken clouds
Fatezh,RU,52.0891,35.8632,39.2,60,0,4.47,clear sky
Santiago De Cao,PE,-7.9589,-79.2392,67.95,89,98,9.4,overcast clouds
Inongo,CD,-1.95,18.2667,72.63,94,100,7.29,light rain
Tarime,TZ,-1.35,34.3667,67.64,81,98,7.05,overcast clouds
Elbistan,TR,38.2059,37.1983,37.49,79,97,2.1,overcast clouds
Northam,GB,51.0333,-4.2167,39.0,83,62,8.01,broken clouds
Naliya,IN,23.2667,68.8333,93.31,25,0,11.41,clear sky
Qasigiannguit,GL,68.8193,-51.1922,19.4,86,90,8.05,overcast clouds
Nemuro,JP,43.3236,145.575,57.2,26,0,11.5,clear sky
Omaruru,NA,-21.4333,15.9333,63.09,44,0,7.78,clear sky
Pitimbu,BR,-7.4706,-34.8086,73.4,100,75,5.75,broken clouds
Shimoda,JP,34.6667,138.95,59.0,55,20,12.66,few clouds
Meulaboh,ID,4.1363,96.1285,84.85,66,24,5.75,few clouds
Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.0,98,56,2.15,broken clouds
Ambovombe,MG,-25.1667,46.0833,78.6,72,13,11.1,few clouds
Moi,NO,58.4567,6.5518,34.0,80,8,5.17,clear sky
Izumo,JP,35.3667,132.7667,64.4,42,20,13.8,few clouds
Riyadh,SA,24.6877,46.7219,86.0,9,0,12.66,clear sky
Japura,ID,-0.3167,102.35,91.13,53,66,3.42,broken clouds
Rio Gallegos,AR,-51.6226,-69.2181,44.6,70,0,12.66,clear sky
Jalu,LY,29.0331,21.5482,55.83,37,27,14.67,scattered clouds
Cheremkhovo,RU,53.1561,103.0675,31.53,35,62,14.9,broken clouds
Belawan,ID,3.7755,98.6832,84.2,84,75,2.3,broken clouds
Along,IN,28.1667,94.7667,74.17,65,72,3.6,broken clouds
Nzerekore,GN,7.7562,-8.8179,71.04,98,70,2.39,broken clouds
Xuddur,SO,4.1213,43.8894,81.97,50,86,15.7,overcast clouds
Sassandra,CI,4.95,-6.0833,78.03,89,84,7.2,broken clouds
Palana,RU,59.1167,159.9667,16.59,76,100,13.85,overcast clouds
Chumikan,RU,54.7183,135.315,35.74,51,2,23.17,clear sky
Kijang,KR,35.2442,129.2139,68.0,19,0,9.22,clear sky
Guatire,VE,10.4762,-66.5427,70.0,84,99,1.95,overcast clouds
Raudeberg,NO,61.9875,5.1352,32.0,93,67,5.82,broken clouds
La Rioja,ES,42.25,-2.5,51.8,93,90,2.13,mist
Luchenza,MW,-16.0069,35.3095,67.23,94,100,5.08,overcast clouds
Seoul,KR,37.5683,126.9778,71.6,21,0,3.44,clear sky
Cayenne,GF,4.9333,-52.3333,73.99,100,90,6.13,mist
Irbil,IQ,36.1926,44.0106,60.8,48,18,6.91,few clouds
Salinas,US,36.6777,-121.6555,53.6,71,1,10.36,clear sky
Vuktyl,RU,63.8567,57.3094,38.64,84,10,10.87,clear sky
Bilibino,RU,68.0546,166.4372,0.28,82,59,7.09,broken clouds
Labrea,BR,-7.2586,-64.7981,72.03,98,94,1.05,overcast clouds
Ewa Beach,US,21.3156,-158.0072,73.4,53,40,8.05,scattered clouds
Bulgan,MN,48.8125,103.5347,29.68,47,100,13.27,overcast clouds
Kismayo,SO,-0.3582,42.5454,85.59,66,87,9.75,overcast clouds
Kuruman,ZA,-27.4524,23.4325,73.65,34,0,1.3,clear sky
Zhaotong,CN,27.3167,103.7167,64.62,49,87,7.0,overcast clouds
Martapura,ID,-3.4167,114.85,91.4,58,40,4.61,scattered clouds
Broken Hill,AU,-31.95,141.4333,66.2,32,2,17.27,clear sky
Pekan,MY,3.4836,103.3996,91.4,62,40,5.75,scattered clouds
Koindu,GN,8.4386,-10.3253,72.19,98,100,3.04,overcast clouds
Port Hardy,CA,50.6996,-127.4199,41.0,86,20,6.91,few clouds
Dunedin,NZ,-45.8742,170.5036,60.01,80,99,15.99,light rain
Mponela,MW,-13.5319,33.7401,62.6,94,40,8.05,scattered clouds
Noumea,NC,-22.2763,166.4572,81.0,89,90,8.05,overcast clouds
Santa Cruz,BO,-17.8,-63.1667,73.4,100,75,11.5,broken clouds
Buraydah,SA,26.326,43.975,71.6,28,0,21.85,clear sky
Barauna,BR,-5.08,-37.6167,72.45,93,96,4.05,overcast clouds
Poum,NC,-20.2333,164.0167,79.18,79,37,13.85,scattered clouds
Banda Aceh,ID,5.5577,95.3222,86.36,65,52,7.65,broken clouds
Mortka,RU,59.3322,66.0214,46.85,73,99,13.51,overcast clouds
Kaka,TM,37.3482,59.6143,79.34,20,4,10.76,clear sky
Sitka,US,57.0531,-135.33,33.8,69,90,3.44,overcast clouds
Cloquet,US,46.7216,-92.4594,41.0,81,90,5.75,overcast clouds
Atambua,ID,-9.1061,124.8925,80.85,68,62,3.2,broken clouds
Minot,US,48.2325,-101.2963,48.2,34,1,9.22,clear sky
Belmonte,BR,-15.8631,-38.8828,71.6,88,20,5.75,few clouds
Rio Grande,BR,-32.035,-52.0986,70.99,91,100,10.02,moderate rain
Aleksandrov Gay,RU,50.147,48.5704,65.8,41,88,17.74,overcast clouds
Abaza,RU,52.655,90.0928,42.84,50,24,3.8,few clouds
Mezhdurechensk,RU,53.6942,88.0603,46.53,46,3,3.65,clear sky
Usinsk,RU,65.9939,57.5281,36.39,85,84,25.34,broken clouds
Batagay-Alyta,RU,67.8006,130.4114,8.49,59,0,6.87,clear sky
Rio Brilhante,BR,-21.8019,-54.5464,72.61,44,36,1.79,scattered clouds
Tynda,RU,55.1667,124.7167,17.06,57,83,11.12,broken clouds
Sorong,ID,-0.8833,131.25,83.59,74,100,6.33,overcast clouds
Hirara,JP,24.8,125.2833,75.2,83,75,18.41,broken clouds
Ust-Nera,RU,64.5667,143.2,9.37,71,99,9.01,overcast clouds
San Cristobal,VE,7.7669,-72.225,64.36,86,99,1.45,overcast clouds
Tanggul,ID,-8.1645,113.4525,88.75,61,17,6.73,few clouds
Slave Lake,CA,55.2834,-114.769,23.0,86,90,14.97,light snow
Araouane,ML,18.9048,-3.5265,79.12,14,9,8.79,clear sky
Tornio,FI,65.8481,24.1466,30.2,69,0,13.8,clear sky
Kashi,CN,39.4547,75.9797,66.2,18,0,4.47,clear sky
Novoagansk,RU,61.9449,76.6625,36.07,95,100,9.78,overcast clouds
Julio De Castilhos,BR,-29.2269,-53.6817,68.29,63,49,8.03,scattered clouds
Lerik,AZ,38.7726,48.4128,55.4,82,40,3.44,scattered clouds
Leiyang,CN,26.4024,112.8591,74.48,68,84,1.59,broken clouds
Aichach,DE,48.4576,11.1341,46.0,81,75,3.44,broken clouds
Hadrut,AZ,39.52,47.0318,55.72,67,97,3.24,overcast clouds
Amarante Do Maranhao,BR,-5.5667,-46.7422,71.69,86,63,1.63,broken clouds
Zanesville,US,39.9404,-82.0132,62.6,94,75,11.5,broken clouds
Salalah,OM,17.0151,54.0924,84.2,65,40,2.3,scattered clouds
Benguela,AO,-12.5763,13.4055,80.13,81,65,3.22,broken clouds
Port-Gentil,GA,-0.7193,8.7815,80.71,81,100,9.55,moderate rain
Sant Pere De Ribes,ES,41.2667,1.7667,55.99,87,60,3.76,broken clouds
Opuwo,NA,-18.0607,13.84,64.65,46,23,8.93,few clouds
Bennettsville,US,34.6174,-79.6848,66.0,100,1,4.61,clear sky
Svetlogorsk,BY,52.6333,29.7333,47.12,56,15,8.46,few clouds
Bartica,GY,6.4,-58.6167,75.2,100,20,2.1,few clouds
Myitkyina,MM,25.3833,97.4,99.54,22,11,3.74,few clouds
Kamenka,RU,51.3223,42.7678,42.01,87,100,1.01,light rain
Saint-Paul,RE,-21.0096,55.2707,82.4,73,40,10.36,scattered clouds
Fort Morgan,US,40.2503,-103.8,48.2,21,1,4.61,clear sky
Ascension,US,30.2169,-90.9001,66.2,94,1,7.38,mist
Zaragoza,ES,41.6561,-0.8773,54.0,100,75,6.91,light rain
Tomatlan,MX,19.9333,-105.25,66.11,88,73,2.75,broken clouds
Boguchany,RU,58.3814,97.4531,37.81,58,49,9.35,scattered clouds
Manicore,BR,-5.8092,-61.3003,75.2,100,0,2.3,clear sky
Magadan,RU,59.5667,150.8,19.67,61,100,10.87,overcast clouds
Lahti,RU,59.9911,30.1597,37.99,69,0,6.71,clear sky
Formosa,AR,-26.1775,-58.1781,78.8,78,0,6.91,clear sky
Walvis Bay,NA,-22.9575,14.5053,81.66,28,0,14.41,clear sky
Santa Rosa,PH,14.3122,121.1114,93.2,43,20,9.22,few clouds
Puerto Del Rosario,ES,28.5004,-13.8627,62.6,82,0,9.22,clear sky
Togur,RU,58.3631,82.8265,38.35,87,100,5.75,overcast clouds
Shizunai,JP,42.3339,142.3669,45.21,65,16,9.48,few clouds
Ayan,RU,56.45,138.1667,31.57,72,78,5.66,broken clouds
George Town,MY,5.4112,100.3354,91.4,66,20,6.91,few clouds
Kloulklubed,PW,7.0419,134.2556,80.6,89,75,3.44,broken clouds
Yanam,IN,16.7333,82.2167,91.4,58,28,9.22,scattered clouds
Belyy Yar,RU,53.6039,91.3903,42.8,21,0,4.47,clear sky
Bizhbulyak,RU,53.6967,54.2642,44.01,76,95,14.65,overcast clouds
Amarpur,IN,25.0333,86.9,104.18,4,22,6.76,few clouds
Yulara,AU,-25.2406,130.9889,77.0,23,0,16.11,clear sky
Caravelas,BR,-17.7125,-39.2481,72.9,85,28,3.29,scattered clouds
Lander,US,42.833,-108.7307,51.8,25,1,6.91,clear sky
Smoky Lake,CA,54.1169,-112.4686,26.6,93,97,13.8,snow
Carlisle,US,40.2015,-77.1889,57.99,84,100,7.94,light rain
Jaguaquara,BR,-13.5306,-39.9708,66.43,95,89,4.21,overcast clouds
Hay River,CA,60.8156,-115.7999,-4.0,71,63,2.39,broken clouds
Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,78.01,88,83,4.0,broken clouds
Meiktila,MM,20.8667,95.8667,101.05,23,40,11.1,scattered clouds
Ulety,RU,51.3572,112.4849,36.77,22,100,10.16,overcast clouds
Owerri,NG,5.4833,7.0304,75.83,85,100,1.86,overcast clouds
Rudbar,AF,30.15,62.6,89.83,9,8,7.11,clear sky
Warmbad,NA,-28.45,18.7333,78.44,29,0,4.29,clear sky
Aden,YE,12.7794,45.0367,81.86,74,3,18.28,clear sky
Ruwi,OM,23.5996,58.5507,86.0,66,20,8.05,few clouds
Windhoek,NA,-22.5594,17.0832,57.0,58,0,5.75,clear sky
Mugur-Aksy,RU,50.35,90.5,27.91,39,2,7.38,clear sky
Axim,GH,4.8699,-2.2405,79.68,87,44,8.68,scattered clouds
Dauphin,CA,51.1494,-100.0502,39.2,56,1,8.05,clear sky
Qui Nhon,VN,13.7667,109.2333,83.14,67,94,11.52,overcast clouds
Tambovka,RU,50.0969,128.0489,46.4,31,20,8.95,few clouds
Santa Maria,BR,-29.6842,-53.8069,73.09,58,84,6.44,broken clouds
Yumen,CN,40.2833,97.2,59.38,27,99,16.96,light rain
Nome,US,64.5011,-165.4064,12.99,79,90,17.27,light snow
Camocim,BR,-2.9022,-40.8411,75.29,91,72,9.28,broken clouds
Weiden,DE,49.6775,12.1567,44.01,93,90,2.77,overcast clouds
Morogoro,TZ,-6.8167,37.6667,75.0,83,94,0.92,overcast clouds
Fort Walton Beach,US,30.4058,-86.6188,70.0,94,75,5.53,broken clouds
Coxim,BR,-18.5067,-54.76,78.04,58,64,3.42,broken clouds
Kudymkar,RU,59.0173,54.656,35.47,99,100,2.51,light rain
Aswan,EG,24.0934,32.907,63.46,22,0,17.83,clear sky
Norman Wells,CA,65.282,-126.8329,-7.6,77,75,8.05,broken clouds
Dalkola,IN,25.85,87.85,101.95,5,48,7.61,scattered clouds
Moses Lake,US,47.1301,-119.2781,39.2,38,1,12.66,clear sky
Gedo,ET,9.0167,37.45,69.39,26,85,2.33,overcast clouds
Teguldet,RU,57.3064,88.1667,40.21,71,100,5.46,overcast clouds
Lubartow,PL,51.4603,22.6095,48.0,70,0,3.44,clear sky
Peniche,PT,39.3558,-9.3811,57.99,90,7,4.0,clear sky
Grand Gaube,MU,-20.0064,57.6608,82.0,72,100,7.0,overcast clouds
San Joaquin,US,37.9333,-121.3011,57.99,54,1,12.66,clear sky
Sivaki,RU,52.6333,126.75,30.81,31,82,10.74,broken clouds
Mbanza-Ngungu,CD,-5.25,14.8667,67.96,88,99,2.21,overcast clouds
Okhotsk,RU,59.3833,143.3,22.48,93,100,23.51,snow
Itanhandu,BR,-22.2958,-44.9347,57.99,90,0,0.34,clear sky
Kyra,RU,49.5776,111.9753,32.79,45,100,9.75,overcast clouds
Hervey Bay,AU,-25.2986,152.8535,89.6,35,36,8.05,scattered clouds
Touros,BR,-5.1989,-35.4608,75.2,94,20,4.61,few clouds
Alofi,NU,-19.0595,-169.9187,78.8,83,9,3.44,clear sky
Verkh-Chebula,RU,56.0308,87.6218,37.49,80,78,3.02,broken clouds
Namibe,AO,-15.1961,12.1522,80.8,65,43,2.59,scattered clouds
Yomou,GN,7.5603,-9.2653,71.33,99,82,0.98,broken clouds
Marquette,US,46.5333,-87.6335,41.0,96,100,9.22,overcast clouds
Porto Walter,BR,-8.2686,-72.7439,72.64,98,100,0.76,moderate rain
Laguna,US,38.421,-121.4238,60.01,47,1,4.61,clear sky
Iraquara,BR,-12.2486,-41.6194,68.0,100,90,4.0,overcast clouds
Ayr,GB,55.4627,-4.6339,26.6,93,20,4.61,few clouds
Qujing,CN,25.4833,103.7833,78.53,28,19,23.26,few clouds
Salinopolis,BR,-0.6136,-47.3561,78.08,87,100,7.25,overcast clouds
Samana,DO,19.2056,-69.3369,69.8,76,52,6.06,broken clouds
Bazarnyye Mataki,RU,54.8833,49.9333,45.39,95,100,3.47,light rain
La Ronge,CA,55.1001,-105.2842,32.0,100,100,4.61,overcast clouds
Coihaique,CL,-45.5752,-72.0662,44.91,97,100,6.08,overcast clouds
Lorengau,PG,-2.0226,147.2712,83.66,77,100,16.06,overcast clouds
Santiago De Chuco,PE,-8.15,-78.1833,49.86,85,100,3.15,overcast clouds
Dongsheng,CN,39.8161,109.9776,53.35,58,96,14.0,overcast clouds
Tianpeng,CN,30.9866,103.9393,62.6,72,40,4.47,scattered clouds
Padang,ID,-0.9492,100.3543,87.8,70,20,5.75,few clouds
Ust-Kut,RU,56.7938,105.7672,28.58,51,80,6.38,broken clouds
Diego De Almagro,CL,-26.3667,-70.05,58.28,60,0,0.58,clear sky
Tankhoy,RU,51.5528,105.1306,31.71,58,99,14.14,overcast clouds
Kaspiysk,RU,42.8816,47.6392,50.0,76,27,6.71,scattered clouds
Dabhoi,IN,22.1833,73.4333,91.4,38,2,5.75,clear sky
Macusani,PE,-14.0833,-70.4333,35.91,95,100,1.72,overcast clouds
Biak,ID,-0.9131,122.8766,83.7,69,83,1.48,broken clouds
Pierre,US,44.3683,-100.351,46.4,46,1,13.8,clear sky
Xichang,CN,27.8964,102.2634,86.0,6,7,12.95,clear sky
Mirnyy,RU,62.5353,113.9611,18.16,68,8,10.4,clear sky
Iquitos,PE,-3.7481,-73.2472,77.0,88,75,5.75,moderate rain
Tavda,RU,58.0425,65.2726,47.73,71,100,12.8,overcast clouds
Marsh Harbour,BS,26.5412,-77.0636,74.75,71,0,17.13,clear sky
Woodward,US,36.4337,-99.3904,50.0,40,1,8.05,clear sky
Tarko-Sale,RU,64.9225,77.785,32.54,100,57,10.78,broken clouds
Pontes E Lacerda,BR,-15.2261,-59.3353,69.94,96,33,1.45,scattered clouds
